Ain't She Sweet,Core 80,C,C
Alma Mater (Hail O),Core 80,B,B
Alma Mater (Tower Bells),Core 80,Ab,C#
Aloha,Core 80,F,Bb
And When the Leaves,Core 80,Bb,Ebm
Babylon/I'll Fly Away,Core 80,F,Bb
Bandoleros,Core 80,C,F
Barefoot Days,Core 80,F,Bb
Cherry Orchard,Core 80,A,A
Coney Island Baby,Core 80,E,A
Coney Island Washboard,Core 80,C,C
Curbstone Cutie,Core 80,G,C
Donegal,Core 80,G,G
Fight Song,Core 80,F,Bb
Girl That's Pretty,Core 80,F,Bb
Goodfellow,Core 80,F,Bb
Hoya Saxa Joe,Core 80,F,Bb
I Love The Ladies,Core 80,A,Bb
I've Been Feeling Blue,Core 80,E,A
I've Got Rhythm,Core 80,G,C
Joys of Love,Core 80,F,Bb
Katie Malone,Core 80,Bb,Bb
Lately,Core 80,E,A
Leaves that are Green,Core 80,G,G
Maggie,Core 80,C,F
Mandy,Core 80,E,C
Mansions of the Lord,Core 80,Ab,Ab
Maryanne's,Core 80,F,Bb
Mood Indigo,Core 80,Ab,Ab
My Comrades,Core 80,E,A
My Cutie's Due,Core 80,E,A
Nellie,Core 80,C,Ab
O Mamie Reilly,Core 80,Bb,Bb
Old Grey Bonnet,Core 80,G,C
Old Songs,Core 80,F,Bb
Our Strong Band,Core 80,Bb,Bb
Over the Sea,Core 80,F,B
Piano Roll Blues,Core 80,C#,F#
Prodigal Son,Core 80,G,G
Roguish Eyes,Core 80,F,Bb
Saloon,Core 80,G,G
Slew Foot Sue,Core 80,F,Bb
Snap Crackle Pop!,Core 80,F,Bb
Soldier Boy,Core 80,F,Bb
Wazoo,Core 80,G,Am
We Meet,Core 80,C,C
Anytime,Boston Common,G,G
Caroline,Boston Common,C,C
Dear Hearts,Boston Common,Ab,Ab
Don't Blame Me,Boston Common,D,D
Don't Tell Me,Boston Common,F,Bb
First Hello,Boston Common,C#,F#
Gold,Boston Common,D,G
Good Day,Boston Common,F,Bb
Imagination,Boston Common,F,F
I'm Gonna Sit Right Down,Boston Common,C,C
In the Heart of the City,Boston Common,D,D
Lida Rose / Till There Was You,Boston Common,E,E
Little Girl,Boston Common,Eb,Eb
Moving Picture Ball,Boston Common,Bb,Bb
So Long Dearie,Boston Common,Ab,Ab
Ten Feet,Boston Common,E,A
That Old Quartet,Boston Common,G,G
What'll I Do,Boston Common,A,F
Who Told You,Boston Common,D,G
Angels We have Heard on High,Christmas,A,F
Deck the Halls,Christmas,F,F
Hark! The Herald Angels Sing,Christmas,G,G
I Sing of a Maiden,Christmas,G,G
I'll Be Home For Christmas,Christmas,C,C
Jolly Old St. Nicholas,Christmas,A,A
Joy to the World,Christmas,D,D
Lo! How a Rose,Christmas,F,F
O Come All Ye Faithful,Christmas,G,G
Silent Night,Christmas,C,C
That Man,Christmas,C,C
The Christmas Song,Christmas,Eb,Eb
White Christmas,Christmas,C,C
Accidentally In Love,Gig: Solo,G,G
Big Babaloo,Gig: Solo,A,A
Come Go With Me,Gig: Solo,Ab,Ab
Eight Days a Week,Gig: Solo,D,D
Friends For Now,Gig: Solo,Ab,Ab
Georgetown Guy,Gig: Solo,C,C
Great Historical Bum,Gig: Solo,A,A
Hold Me Tight,Gig: Solo,Bb,Bb
I Want You Back,Gig: Solo,A,A
I'm Just Ken,Gig: Solo,F#,F#
I've Just Seen a Face,Gig: Solo,A,A
In the Still of the Night,Gig: Solo,E,E
Little Bitty Pretty One,Gig: Solo,A,F
Loch Lomond,Gig: Solo,Ab,Ab
Moondance,Gig: Solo,F,F
Mountains of Morne,Gig: Solo,A,A
Operator,Gig: Solo,Eb,Ab
Paige's Horse,Gig: Solo,F,Bb
Patriot Game,Gig: Solo,G,C
Peaceful Easy Feeling,Gig: Solo,E,E
Runaround Sue,Gig: Solo,C,C
She's Got a Way,Gig: Solo,G,G
Silhouettes,Gig: Solo,F,F
Sixteen Tons,Gig: Solo,D,D
Sixty Minute Man,Gig: Solo,A,D
Soul to Soul,Gig: Solo,D,G
Up the Ladder,Gig: Solo,D,D
Wayfaring Stranger,Gig: Solo,Eb,Eb
Zombie Jamboree,Gig: Solo,G,G
America the Beautiful,Gig: 4-Part,F,Bb
And So It Goes,Gig: 4-Part,C,C
Blackbird,Gig: 4-Part,F#,F#
Bomp,Gig: 4-Part,Ab,Db
Come Fly With Me,Gig: 4-Part,Eb,Eb
Country Roads,Gig: 4-Part,Ab,Ab
Danny Boy,Gig: 4-Part,Ab,Ab
Drift Away,Gig: 4-Part,G,G
Dust in the Wind,Gig: 4-Part,C,C
Ebb Tide,Gig: 4-Part,Ab,C#
Go the Distance,Gig: 4-Part,F#,F#
God Only Knows,Gig: 4-Part,D,E
Great God of Love,Gig: 4-Part,B,B
Happy Birthday,Gig: 4-Part,F,Bb
Irish Blessing,Gig: 4-Part,F,F
Let You Break My Heart Again,Gig: 4-Part,G,G
MLK,Gig: 4-Part,G,G
More I Cannot Wish You,Gig: 4-Part,E,C
Rainbow Connection,Gig: 4-Part,A,A
Shenandoah,Gig: 4-Part,B,B
St. Louis Blues,Gig: 4-Part,Ab,Dbm
Star Spangled Banner (Gashouse),Gig: 4-Part,F,Bb
This is the Moment,Gig: 4-Part,Bb,Eb
Tonight Tonight,Gig: 4-Part,G,G
What a Wonderful World,Gig: 4-Part,D,G
Yes Sir That's My Baby,Gig: 4-Part,D,D
